sig_id,cp_type,cp_time,cp_dose,g-0,g-1,g-2,g-3,g-4,g-5,c-0,c-1,c-2,c-3,c-4,c-5,c-6,c-7
id_0077e36b9,trt_cp,48,D1,-0.6643,-0.2815,0.4145,-0.1687,-0.2872,0.1095,0.3829,0.8901,1.165,-0.5679,0.8841,-0.1826,0.5604,1.309
id_0079af0fb,ctl_vehicle,24,D1,-0.1636,-1.823,-0.5211,0.3054,-1.128,0.6041,0.1431,-0.1254,-0.074,0.0288,-0.7198,-1.004,0.3443,-0.6593
id_0079d45d3,trt_cp,24,D1,1.631,-2.143,-0.0943,-1.199,0.4869,-0.0935,-1.282,-2.462,-2.593,-3.069,-2.969,-2.786,-2.615,-1.511
id_007bfbb91,ctl_vehicle,24,D2,-1.32,-1.734,-0.0741,1.544,-1.829,-0.0951,0.8107,0.711,-0.0797,0.1703,1.71,-0.0436,-0.2968,0.8906
id_0080f169f,trt_cp,48,D2,0.3597,0.1674,-0.0766,0.2779,0.1796,1.249,-0.2962,-0.2125,0.5573,0.2466,-0.2445,0.1625,-0.5309,0.007
id_00816e002,trt_cp,48,D2,-0.2043,0.1946,-1.605,0.307,-0.0713,-1.103,-0.9057,0.1573,0.1749,-1.138,0.1777,0.083,0.0931,-0.4021
id_00849b0f8,trt_cp,48,D2,-0.6823,-0.2151,0.4651,0.746,-0.1309,-2.121,0.2179,-0.1788,-0.3463,0.5771,-0.5844,-0.0113,0.16,0.5648
id_00872d938,trt_cp,48,D2,0.3161,0.0464,0.1056,-2.122,-0.5453,0.8377,-1.377,-2.866,-4.338,-3.416,-8.027,-4.657,-4.094,-4.359
id_0089590d4,trt_cp,72,D1,-0.1615,-0.286,-0.6151,-0.0371,-0.3724,-0.5123,1.02,0.4381,0.4855,-0.0768,0.087,0.5942,0.6613,0.946
id_008a18cef,trt_cp,72,D2,0.6492,0.5022,1.07,-0.331,0.3905,0.4721,0.3725,-0.1207,0.547,-0.4762,0.4334,-0.4958,0.8756,0.4639
id_008a986b7,ctl_vehicle,48,D2,0.486,0.143,0.5281,-0.0022,-0.2334,-0.6607,-0.6666,0.3619,-0.4816,0.3545,0.048,-0.1306,0.3623,-1.419
id_008b48693,trt_cp,24,D1,2.52,-2.02,1.171,2.042,-1.807,0.5109,0.6116,0.3106,0.0117,0.4718,-0.657,-0.0579,0.0752,0.342
id_008c40337,trt_cp,48,D2,-0.1473,-0.2327,-0.4069,-0.0833,-0.2684,-1.151,-0.4012,0.6372,0.7108,0.369,1.041,0.8754,1.449,0.647
id_008dfb160,trt_cp,72,D1,-0.2314,-0.7888,-0.2197,0.0924,-0.759,-0.6237,-0.3095,-0.0352,-0.4225,-0.1979,0.2233,0.2707,-1.124,-0.4809
id_008f35497,trt_cp,24,D2,-0.0901,0.1814,0.5846,-0.2952,-0.3041,-0.1468,0.7453,0.0483,0.2265,0.0586,0.4364,0.7969,-0.017,-0.266
id_008f5b224,trt_cp,48,D1,0.2358,0.3526,0.7874,0.6418,-0.1043,0.3308,0.2365,-1.65,-0.3926,-0.167,-0.06,-2.559,-1.708,0.4245
id_0090da7e9,trt_cp,48,D2,-1.258,0.9614,0.0745,-0.1526,2.191,0.7618,-0.2611,0.8883,0.1032,-1.216,1.017,1.427,1.338,-0.1143
id_009140ea3,trt_cp,24,D2,-0.2021,0.1113,1.187,-1.172,0.5381,-0.2382,0.7717,-0.5189,0.0486,0.8237,-0.7878,0.0999,0.1283,0.0637
id_0092c905e,trt_cp,48,D1,-1.168,-0.8433,0.0338,-0.4981,-0.5348,1.47,0.2795,0.637,0.6402,-0.5947,0.0984,0.3797,-0.35,1.555
id_009379beb,trt_cp,24,D1,4.746,-3.991,1.395,1.806,-0.7316,3.249,0.6377,0.2237,-0.0494,-0.0557,0.7704,-1.067,-2.044,0.663
id_0093bf6b8,trt_cp,24,D1,0.2323,-1.751,3.5,0.3083,0.2872,0.8532,-0.7184,-1.384,-0.3296,-0.0572,-0.823,-0.4409,-0.8064,-0.0228
id_0094ce209,trt_cp,48,D2,0.0433,0.0756,0.0027,0.9788,0.3287,0.3847,-0.0344,-0.656,-1.219,-1.139,-0.8393,-0.5078,-2.677,-0.7597
id_00997a3a8,trt_cp,72,D1,1.487,-0.0895,2.364,-0.3717,0.1295,0.8296,0.8279,-1.006,-0.6486,0.5661,0.1249,-0.3993,0.0953,-0.8854
id_009afed7f,trt_cp,48,D1,-0.4139,-0.3801,1.042,-0.7012,-0.2944,-0.8192,-0.21,0.0293,-0.7304,0.0156,0.2055,0.6368,0.723,0.3426
id_009bb5487,trt_cp,24,D1,-0.4609,-0.441,-0.3745,-0.3652,-0.4071,0.4881,0.3173,0.1652,0.6165,-0.6558,0.4089,1.123,1.025,0.9534
id_009d60bd9,trt_cp,24,D1,-1.398,-0.3277,-0.2602,0.857,-0.5087,-0.2973,-0.7192,-0.0736,0.1323,1.109,-0.4929,-0.6783,0.4098,-0.2263
id_009d8340f,ctl_vehicle,24,D2,0.4471,-0.0839,-0.3864,0.3196,0.2584,-0.3156,0.8432,0.4478,-0.8843,-0.6954,0.4762,0.916,0.1785,0.2807
id_009da9c07,trt_cp,24,D1,0.4641,-1.032,1.596,-0.3639,-1.209,-0.8822,-0.4222,0.3139,0.5587,0.2251,-1.113,0.2517,-0.9774,0.4478
id_00a4acf2d,trt_cp,48,D2,0.1528,0.248,1.416,0.8525,0.7965,-1.298,-2.207,-6.688,-3.566,-2.216,-5.629,-3.333,-3.656,-1.977
id_00a5912c8,trt_cp,48,D1,-0.5676,-0.1612,-1.317,-0.0668,2.447,-0.546,-0.3419,-3.194,-2.274,-0.9814,-2.695,-1.569,-3.639,-0.3758
id_00a6e782e,trt_cp,48,D1,-0.7053,-0.2772,1.063,0.6516,0.0751,1.217,-0.0059,0.0037,-0.2533,-1.131,-0.5746,-0.7838,0.2624,-0.2324
id_00ac7c837,trt_cp,24,D2,-0.3769,-0.293,-0.0566,1.484,-1.017,0.3842,0.875,1.134,0.7183,-0.2168,0.7276,0.4943,0.2683,0.5716
id_00b363e33,trt_cp,24,D1,0.0075,0.3758,0.3834,0.6057,-0.4151,-0.7493,-0.5787,0.2194,0.0786,-0.7867,0.171,-0.2977,-0.814,-0.5505
id_00be9e759,trt_cp,48,D2,0.1736,-0.6098,0.0508,-0.803,0.0678,0.7312,-0.2461,0.3461,1.251,0.6161,1.197,1.549,1.01,1.431
id_00bee1bc5,trt_cp,24,D2,0.5528,-0.6515,-0.155,-0.3447,0.6108,2.673,0.6442,-0.7944,-0.4385,-0.0727,-0.9868,-0.5983,0.0101,-1.27
id_00c240861,trt_cp,24,D2,0.0066,-0.784,0.5265,-0.2975,0.2097,-0.9404,0.2879,0.2623,-0.4451,-0.2848,-0.0293,-0.2735,-1.27,0.0705
id_00c3672d5,trt_cp,72,D2,-0.553,-0.2655,0.8249,-0.5344,-0.2584,-0.3404,-0.5441,-0.2797,0.6428,1.278,-0.2139,0.9352,0.6795,-0.1493
id_00c99b509,trt_cp,24,D2,-0.0465,-0.8073,0.427,0.0397,-0.2882,0.6084,-0.7855,-0.0844,-0.2261,-1.473,-0.561,0.8026,0.7427,-0.4104
id_00ceee87f,trt_cp,24,D2,0.1529,0.7548,-0.2295,-0.8523,-0.2514,0.2268,0.4027,0.7628,0.1233,0.7029,1.018,0.2872,0.5834,0.4337
id_00cf039a7,trt_cp,48,D2,4.546,0.4257,0.767,2.195,2.596,0.3677,-9.65,-8.691,-9.348,-6.068,-10,-9.758,-10,-6.049
id_00cf304ae,trt_cp,24,D2,-0.9906,-0.0223,-0.7852,0.155,0.0439,-0.2081,-0.0133,1.14,0.9126,0.8936,0.0937,-0.3561,1.619,0.5395
id_00cfd9aea,trt_cp,48,D2,0.1257,0.9688,-0.6265,-1.043,0.5238,0.971,-0.0077,0.1465,-0.1455,0.4496,0.3379,-0.451,-0.4985,-0.4788
id_00d41e2da,trt_cp,24,D1,1.532,-0.3059,0.4695,0.3089,0.1194,-0.1823,0.4688,-1.16,-0.132,0.2849,-0.9071,-0.3605,-0.1697,-0.9123
id_00d421ae2,trt_cp,72,D1,-0.7283,0.7161,0.8069,0.2509,-0.2105,-1.094,0.1638,0.431,0.4737,0.783,0.4264,0.5925,0.5179,0.1623
id_00d575cfb,ctl_vehicle,72,D1,-0.6723,-0.1206,0.3467,-0.6395,-0.3117,1.226,1.057,0.5591,0.9506,0.3931,0.4944,0.4281,0.2864,0.5568
id_00ea9ff8b,trt_cp,72,D2,0.2334,-0.6133,1.115,-0.4164,-0.283,-0.44,-1.103,0.6176,0.1121,0.7526,0.0286,-0.0264,-1.042,0.0155
id_00eae2e04,trt_cp,48,D1,0.1982,-0.4159,-0.1508,2.043,0.1674,0.53,1.327,-0.3452,-0.0116,1.37,-0.7331,0.1607,-0.8129,-0.2633
id_00eb9953e,trt_cp,72,D2,0.671,-0.2932,-1.309,0.3104,0.0445,-4.675,0.6621,0.0613,-0.3665,0.7095,-0.0216,0.1694,-0.4549,-0.7212
id_00f08ca12,trt_cp,48,D2,-0.0323,-0.8249,-0.2119,0.0735,0.0658,0.3392,0.1195,0.0167,-0.6117,0.2016,-0.6286,-0.2182,-0.6917,-0.6477
id_00f11ed38,trt_cp,48,D2,0.0956,0.0837,0.77,3.316,-0.1528,0.5583,-0.0151,0.4784,0.0678,-0.0301,-0.3134,-0.6996,-2.116,-0.3569
id_00f3fd495,trt_cp,48,D2,-1.188,-0.3802,0.2006,0.5696,-1.216,-0.2983,0.5475,-0.1172,0.4475,0.2617,0.6525,-1.671,-0.0968,0.4307
id_00f532aa2,trt_cp,72,D2,-0.4705,-1.235,0.4152,-0.1484,-0.2319,0.5062,-0.081,0.9796,0.9635,0.414,0.0631,1.183,-0.3836,0.1041
id_00f62af34,trt_cp,48,D1,-1.267,-0.2418,-0.3098,-0.3943,1.351,0.4375,-0.4828,-0.1122,-0.1512,-0.5585,-0.5012,-0.5898,-0.9497,0.0773
id_00f92f0b2,trt_cp,48,D2,-0.297,0.2023,-0.8704,-0.8648,0.0428,-0.6496,0.0791,0.3334,-0.4697,-0.1299,-0.0876,-1.081,-1.205,0.2136
id_00f982099,trt_cp,48,D1,-0.4209,0.311,-0.8058,0.4995,0.22,-0.6228,-0.0278,0.593,-0.7158,-0.5333,-0.7422,-0.6448,-0.7725,-1.146
id_00fb2c241,trt_cp,24,D1,0.6685,-1.451,-0.4586,-0.2297,-1.746,0.4742,1.236,1.095,0.7225,0.0577,0.1896,0.5497,-1.06,0.744
id_00fe43a96,trt_cp,24,D2,-0.5985,0.1227,1.691,-0.2117,-0.6305,0.3417,-0.3626,-0.2317,0.345,-0.8352,0.1629,0.3974,0.1413,0.4697
id_00ff52a2c,trt_cp,72,D1,-1.061,-0.4096,1.863,0.2921,-1.755,0.6541,0.1194,-0.0766,-0.136,0.3713,-0.3645,-0.2104,0.3046,0.1407
id_010385a91,trt_cp,48,D2,-0.4336,-0.9835,-0.1847,0,-0.473,0.3617,0.3013,0.622,1.13,-0.0461,0.4671,-0.0451,0.1786,0.0737
id_010629f4f,ctl_vehicle,24,D2,1.747,0.8486,-0.8951,-0.2527,0.8395,-1.824,-1.133,-0.4844,-0.6655,0.1748,0.0661,-0.0553,-0.6691,0.5057
id_0106bfcfd,trt_cp,24,D1,2.2,1.003,0.1544,-1.421,-0.6126,-0.5458,-0.1122,-0.7016,-0.5759,-0.149,-0.4129,-1.268,-0.6497,-0.9886
id_010aa48d5,trt_cp,48,D2,0.8022,0.2838,-0.1738,-0.3234,0.1443,-0.846,-0.6923,-1.48,0.2703,-0.0213,-0.6773,-1.174,0.1457,-0.6998
id_010b6dcd3,trt_cp,24,D2,0.0921,-0.1795,0.3784,1.817,0.0235,-1.791,0.3883,0.9535,1.445,-0.2877,0.9666,1.163,0.3882,0.2629
id_010d00d5f,trt_cp,24,D1,0.3634,0.0967,3.181,0.4634,0.0248,0.1154,0.3751,-0.5785,0.0648,-1,-0.0505,0.8301,0.9455,0.2549
id_0112a0b2a,trt_cp,24,D2,-0.517,0.8672,0.671,0.9079,0.4985,-0.2759,-0.4401,-0.4561,-0.312,0.7584,0.2738,0.2198,0.237,-0.3198
id_0114aaed0,trt_cp,24,D1,-0.005,0.6787,0.3609,-0.0847,0.9934,0.8982,-0.2027,0.2385,-0.5162,-0.3861,0.3161,-0.2562,0.024,-0.6531
id_0118c5902,trt_cp,72,D2,-0.6307,-0.9463,-0.4086,-0.1295,0.0001,1.173,-0.1235,-0.9408,-1.866,-0.3556,-0.3249,0.705,0.3012,-0.0145
id_011c284f7,trt_cp,24,D2,0.7801,0.8399,1.597,0.0383,-0.534,0.2788,-0.1771,-0.2048,-2.309,-0.3415,0.0236,-1.389,-0.6335,-0.1858
id_0124188e4,trt_cp,48,D2,0.552,-0.0201,0.1626,-0.7463,-0.1588,-0.4016,-1.232,-0.906,-1.929,-0.5406,-0.3991,0.195,-0.1629,-0.6961
id_01286cb48,trt_cp,72,D2,-0.0954,0.5702,-0.8649,0.4792,-0.286,-0.0046,1.527,0.8706,-0.0241,0.9258,1.074,0.4902,0.356,1.015
id_012a2d925,trt_cp,72,D1,-0.6937,-1.77,-2.777,1.616,4.089,0.578,-0.3419,0.4831,0.6917,0.6806,0.8959,0.843,1.304,0.5451
id_0131c7fbd,trt_cp,72,D1,-0.6341,-0.5975,-0.436,0.636,-1.253,-1.652,0.0958,0.4074,-0.1849,-0.7949,0.5521,0.0784,0.6326,0.1732
id_01321cc2b,trt_cp,72,D2,0.0138,-0.461,-0.1813,0.3696,0.9619,0.4718,0.3627,-0.1985,-0.3844,0.7883,0.257,-0.6985,-0.8628,-0.2217
id_01358cd02,trt_cp,24,D1,-0.3289,0.5107,1.172,0.2273,-0.4747,0.0331,0.401,-0.5246,-0.2175,1.492,0.5101,0.0623,0.483,0.9244
id_013caefbf,trt_cp,72,D1,-0.3718,-0.4962,-0.1409,0.3649,0.7076,0.4657,1.089,0.3569,0.0784,0.1411,0.5444,-0.6542,0.7616,0.1126
id_013cc7eca,trt_cp,24,D1,-0.704,-1.194,1.234,0.3088,1.686,0.051,-0.2684,-0.2691,-0.1046,0.9038,0.4993,-0.1172,-0.4523,0.5953
id_013d94d49,trt_cp,72,D1,-0.7011,-1.9,-0.1185,0.8657,-2.348,0.1253,-0.1727,-0.3569,0.3791,-0.1814,-0.2512,0.1564,-0.0911,1.259
id_014092333,trt_cp,24,D1,-0.6988,-0.4308,-0.2081,-0.2863,-0.1702,-0.067,0.1702,0.3068,0.2071,-0.4495,0.0663,0.3075,0.529,1.41
id_01424b2ca,trt_cp,48,D2,-0.5386,-0.0847,-0.3008,-1.073,0.2799,-1.667,-0.4194,1.074,0.0895,-0.2957,0.7152,0.525,0.9225,0.362
id_014466728,trt_cp,48,D1,0.0374,-0.7315,0.1712,-0.7089,-0.0258,0.1474,-0.292,-2.37,-0.1824,-0.3126,0.1696,-0.7117,-3.204,-0.7469
id_0144e88e8,ctl_vehicle,48,D2,-1.67,-2.324,-0.9795,0.3699,-1.927,1.25,1.497,1.052,-0.1933,1.391,1.234,1.439,1.176,0.8313
id_014e9ee08,trt_cp,48,D1,0.4072,-1.996,3.54,-0.6873,-0.428,0.1499,0.2254,-0.0034,-0.5311,-1.247,0.8418,-0.7952,0.1101,-0.4698
id_01534c4ee,trt_cp,72,D2,10,-1.22,1.515,-2.191,4.353,-0.9594,-9.809,-10,-10,-6.181,-10,-10,-10,-6.915
id_0157eefb3,trt_cp,48,D2,-0.3555,0.3616,-0.1624,-1.406,-0.1772,0.0006,-0.0937,-0.9617,-0.4741,-0.0199,-0.6763,0.6763,0.1263,-0.1012
id_01587ff16,trt_cp,72,D2,1.027,-0.832,-0.9726,0.4467,0.5163,-0.8188,1.531,0.6194,0.6122,-0.4394,0.0174,0.2939,0.3069,1.329
id_0160300d7,trt_cp,48,D2,-0.1057,0.7146,0.3196,0.9543,-0.5435,-1.383,-0.9311,0.3509,-0.0016,1.137,-0.5274,0.2424,0.0913,-0.9664
id_0162da5e3,trt_cp,24,D1,0.3939,0.4426,0.7528,-0.4492,-0.1728,-0.3181,-0.261,1.186,-0.8752,0.4028,-0.3298,0.3761,-1.002,-0.506
id_016364d11,trt_cp,48,D2,-0.1285,0.4635,-0.5757,0.1341,0.197,-0.4286,-0.1097,-0.6068,0.3647,0.6191,0.9889,0.6246,1.353,0.1771
id_0165cb330,trt_cp,72,D1,-0.6562,-0.5893,-0.8344,0.1491,-0.2657,0.1211,-1.818,0.0312,-0.6102,0.4662,0.4844,0.3603,-1.295,-0.278
id_016f18b33,trt_cp,48,D1,-0.5924,-0.3747,-0.2318,-0.0164,-0.7001,0.2946,-0.32,0.2506,-0.6966,-0.8864,0.4082,0.2154,0.1136,0.5976
id_016f3905a,trt_cp,72,D1,0.6387,0.2193,-0.0464,-0.224,0.0066,1.22,0.2725,0.2035,0.5262,0.2309,0.4654,0.334,0.7703,0.2855
id_0175478e7,trt_cp,48,D2,-0.8516,0.6187,-3.262,-0.5904,0.4593,-1.006,0.181,0.3409,1.19,-1.435,-0.6441,0.3146,1.316,0.0079
id_017652e9a,trt_cp,72,D2,-0.2722,0.205,-2.092,-0.0812,-2.307,-0.5109,-0.7244,-6.308,-5.3,-4.649,-5.949,-6.693,-7.229,-0.5578
id_017c7a597,trt_cp,72,D2,0.2347,0.0104,0.3749,-0.1866,-0.6379,0.6219,0.4959,0.876,-0.3255,-0.4606,0.1686,-0.0757,-0.7512,-0.2595
id_017e29d4d,trt_cp,24,D1,-0.7307,-0.6776,0.6388,0.072,-0.1736,0.4976,0.1262,-0.1826,0.168,-0.21,0.7621,0.7739,-0.2473,-0.5021
id_017f108a9,trt_cp,48,D2,0.2939,-0.5257,-0.3972,-0.6264,-0.1214,-0.576,-0.1985,0.2578,1.028,0.1584,0.5511,0.6387,-0.106,0.3851
id_018492dbc,ctl_vehicle,24,D2,0.3005,-0.8478,-0.2077,-0.7008,-2.365,2.512,0.5559,0.769,0.5074,-0.7065,1.073,0.6679,0.4247,0.0633
id_01856bbd5,trt_cp,48,D2,0.1254,-0.3176,1.023,-0.7465,-0.2573,-0.3498,-2.032,-2.613,-3.959,-1.581,-2.143,-0.2634,-3.862,-1.46
id_01882cf6e,trt_cp,72,D1,-1.429,-0.522,-0.1406,-0.3457,-0.8043,0.2284,0.8363,0.5559,0.9466,-0.5751,0.6312,0.1984,0.3736,-0.222
id_018e83eec,trt_cp,72,D2,0.3354,0.1169,0.4901,-0.2776,-0.3064,-0.8749,-0.0701,0.9095,0.2475,-0.0708,-0.5956,0.7485,0.4004,0.9243
id_018eabd67,trt_cp,72,D1,-0.0879,-0.3845,0.2708,0.229,-0.9327,-0.6981,-0.4552,-1.258,-1.29,-0.0701,-0.1987,-0.4097,-4.766,-1.245
id_018fc6bfa,trt_cp,24,D1,-0.0788,0.2323,1.188,0.1744,0.409,0.0857,-0.6091,-0.8708,-1.091,-1.322,-0.607,0.0064,-1.528,-0.6013
id_0192489a1,trt_cp,24,D2,-0.3386,0.1582,1.101,-1.157,0.0723,-0.8054,-0.387,-0.2143,-0.8596,0.3957,0.7769,-0.2105,-0.6971,-0.8122
id_019351a82,trt_cp,24,D2,-0.7273,-0.5028,0.7835,-0.7823,-0.3384,0.4274,0.4081,1.623,-0.049,0.1556,-0.0631,0.5453,-1.309,-0.1721
id_01952a294,trt_cp,72,D1,0.3268,-0.1883,-1.124,-0.4718,0.1218,0.6343,0.2933,0.188,-0.5288,0.0506,0.1918,0.7957,0.7689,1.056
id_01977bb32,trt_cp,24,D2,-0.9642,-0.8186,0.6047,0.3113,-1.345,-0.0387,0.9427,0.021,0.3329,0.3954,-0.4064,-0.7027,-0.7133,0.0609
id_019a1ab73,trt_cp,48,D1,-0.846,-1.12,0.0532,1.322,0.0357,1.619,-0.0244,0.213,1.526,0.5429,0.4844,0.0968,-0.2059,0.5249
id_019c2d7db,trt_cp,24,D1,-1.127,-0.2163,-0.4153,-0.5113,-0.1945,0.3304,-0.2051,-0.481,-0.5146,-0.6793,0.4299,0.5787,0.023,-0.4615
id_01a39024a,trt_cp,72,D2,-0.8899,-0.4729,-0.1187,-0.5585,-0.3078,-0.2322,0.7846,0.473,0.1353,0.1851,1.051,0.2517,0.0758,-0.1652
id_01a4f84b2,trt_cp,72,D1,0.6352,0.5682,0.9044,-0.232,0.6151,0.3995,1.104,0.7908,0.29,-0.1138,-0.9461,0.1281,0.1325,0.6649
id_01ac1b14a,trt_cp,48,D2,-0.9895,-1.827,-0.4209,0.1014,0.2193,-0.1562,-0.1992,-0.1452,0.5424,0.2232,-0.0786,-0.6844,0.7006,0.6608
id_01b05de6c,ctl_vehicle,48,D1,-0.3176,0.8375,-0.3773,0.5555,-0.4877,0.3413,-0.2294,0.926,0.4543,0.3329,0.5444,1.22,0.1792,-0.3121
